   Job Vaccancies Dashboard,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Row Labels,Count of job_id,,,,,,,,,,,,,,,,,,
Bangalore,,,,,,,,,,,,,,,,,,,
Cloud and DevOps,2,,,,,,,,,,,,,,,,,,
Data and Analytics,16,,,,,,,,,,,,,,,,,,
Design,13,,,,,,,,,,,,,,,,,,
Engineering,10,,,,,,,,,,,,,,,,,,
Finance,6,,,,,,,,,,,,,,,,,,
HR and Recruitment,1,,,,,,,,,,,,,,,,,,
IT and Software,106,,,,,,,,,,,,,,,,,,
Product Management,5,,,,,,,,,,,,,,,,,,
Project Management,5,,,,,,,,,,,,,,,,,,
Sales and Business Development,8,,,,,,,,,,,,,,,,,,
Hyderabad,,,,,,,,,,,,,,,,,,,
Data and Analytics,5,,,,,,,,,,,,,,,,,,
Engineering,1,,,,,,,,,,,,,,,,,,
HR and Recruitment,3,,,,,,,,,,,,,,,,,,
IT and Software,22,,,,,,,,,,,,,,,,,,
Sales and Business Development,3,,,,,,,,,,,,,,,,,,
Grand Total,206,,,,,,,,,,,,,,,,,,
